Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6",0603,3,10uF,C19702
"C10, C9",0805,2,4.7uF,C1779
"C11, C12, C15, C16, C17, C18, C19, C20",0805,8,1uF,C15849
"C13, C7, C8",0603,3,1uF,C15849
"C2, C4",0603,2,.1uF,C14663
"C21, C22",0805,2,10uF,C19702
C3,0805,1,22uF,C45783
D1,LED_XL-3227RGB-RF,1,XL-3227RGB-RF,C965844
D2,D_SMA,1,SS114,C2480
"D3, D4",D_SOD-923,2,ESD9B3.3,C96512
D5,0603,1,LED Red,C2286
"D6, D7, D8",D_SOD-123,3,MBR0530,C77336
D9,0805,1,LED Green,C2297
F1,0805,1,Polyfuse 1A,C5307781
FB1,0805,1,BLM21PG221,C85840
IC1,ESP32S3MINI1N8,1,ESP32-S3-MINI-1-N8,C2913206
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,C5143397
J2,FPC-SMD_KH-FG0.5-H2.0-24PIN,1,Conn_01x24,C2797213
J3,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST-PH-2-SMT-RA,C157932
L1,L_Sunlord_SWPA6045S,1,68uH,C53663
L2,SMNR5040_2R2MT_BA,1,2.2uH,C9941
Q1,SOT-323_SC-70,1,Si1308EDL,C469327
Q3,SOT-23,1,AO3401A,C15127
"R1, R2",0402,2,5K1,C25905
R10,0402,1,5K,C25905
"R11, R14, R16",0402,3,330R,C23138
"R12, R13",0402,2,470R,C25117
R15,0402,1,100R,C25076
"R17, R4, R9",0603,3,1R,C22936
"R3, R5, R7, R8",0402,4,10K,C25744
R6,0402,1,100K,C25741
"SW1, SW2, SW3, SW4, SW5, SW6",SW_SPST_TS-1088-xR020,6,SW_Push,C720477
"TP1, TP2, TP3, TP4, TP7, TP8, TP9",TestPoint_Pad_2.0x2.0mm,7,TestPoint,
TP5,TestPoint_Pad_2.0x2.0mm,1,GND,
U1,Texas_DRC0010J_ThermalVias,1,TPS63001,C28060
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,SOT-23-5,1,MCP73831/2,C424093
