Designator,Mid X,Mid Y,Rotation,Layer
C1,170.4,-119.4,0.0,bottom
C10,182.2,-110.8,0.0,bottom
C11,183.2,-106.85,90.0,bottom
C12,180.8,-106.75,90.0,bottom
C13,179.2,-100.975,90.0,bottom
C15,176.4,-101.95,270.0,bottom
C16,174.6,-98.45,270.0,bottom
C17,176.8,-97.45,270.0,bottom
C18,179.6,-96.05,270.0,bottom
C19,182.0,-96.05,90.0,bottom
C2,175.375,-120.75,0.0,bottom
C20,180.8,-91.65,270.0,bottom
C21,142.0,-123.8,180.0,bottom
C22,134.55,-124.2,180.0,bottom
C3,163.0,-72.4,90.0,bottom
C4,168.4,-73.225,90.0,bottom
C5,170.575,-126.7,0.0,bottom
C6,174.6,-123.475,270.0,bottom
C7,134.025,-71.4,0.0,bottom
C8,183.375,-80.225,0.0,bottom
C9,170.6,-96.25,270.0,bottom
D1,142.2,-91.65,90.0,bottom
D2,146.2,-116.2,90.0,bottom
D3,137.4,-71.6,0.0,bottom
D4,166.2,-77.4,270.0,bottom
D5,142.5875,-111.2,180.0,bottom
D6,175.95,-90.2,0.0,bottom
D7,175.95,-92.8,180.0,bottom
D8,172.35,-102.2,0.0,bottom
D9,142.4625,-108.2,180.0,bottom
F1,123.735,-95.0625,90.0,bottom
FB1,127.6,-95.0,270.0,bottom
IC1,152.6,-78.35,0.0,bottom
J1,117.51,-102.09,90.0,bottom
J2,187.8,-100.4,270.0,bottom
J3,152.4,-125.0,180.0,bottom
L1,165.75,-100.0,180.0,bottom
L2,164.0,-123.5,270.0,bottom
Q1,170.15,-109.3375,270.0,bottom
Q3,150.45,-115.7375,90.0,bottom
R1,125.6,-99.2,270.0,bottom
R10,136.69,-116.0,180.0,bottom
R11,150.89,-88.2,180.0,bottom
R12,139.91,-114.8,0.0,bottom
R13,138.89,-113.6,180.0,bottom
R14,147.91,-88.2,180.0,bottom
R15,175.1,-119.25,0.0,bottom
R16,145.71,-88.0,180.0,bottom
R17,165.0,-108.825,270.0,bottom
R2,126.0,-107.2,90.0,bottom
R3,136.71,-72.6,180.0,bottom
R4,165.2,-105.8,0.0,bottom
R5,186.51,-80.225,0.0,bottom
R6,146.2,-110.8,0.0,bottom
R7,162.2,-76.29,270.0,bottom
R8,167.49,-108.2,180.0,bottom
R9,170.375,-105.8,0.0,bottom
SW1,140.6,-74.575,270.0,bottom
SW2,184.2,-75.025,90.0,bottom
SW3,133.0,-75.6,270.0,bottom
SW4,127.0,-75.6,270.0,bottom
SW5,121.0,-75.6,270.0,bottom
SW6,115.0,-75.6,270.0,bottom
U1,171.175,-123.25,180.0,bottom
U2,131.5375,-103.25,0.0,bottom
U3,136.8,-120.0,180.0,bottom
